filename,prompt,clip_score
000000530466_generated.png,A passenger train that has some graffiti on it.,0.3469736099243164
000000233771_generated.png,A black and white image with a colored british flag umbrella,0.29761987686157226
000000475572_generated.png,"There are is a picture of a couple, a beany baby bear, and pot of grass on a mantle.",0.35327178955078126
000000089697_generated.png,The man is sitting on the arm of a bench near a woman.,0.3120861053466797
000000109313_generated.png,A man holding a tv remote and wii controller.,0.2985574913024902
000000579893_generated.png,A close up of the stop sign and to street signs.,0.25539579391479494
000000351362_generated.png,A white bath tub sitting next to a toilet.,0.2909942817687988
000000312278_generated.png,Suitcases on top of a carrier onto of a vehicle.,0.32255645751953127
000000149406_generated.png,An old motorcycle rests near a rundown building.,0.3608943176269531
000000557172_generated.png,A bathroom sink and mirror reflecting the shower and bathtub.,0.28223609924316406
000000140076_generated.png,A made up dinner table with a flower vase on the table.,0.3281526565551758
000000014226_generated.png,A man sitting on a train at a table using a laptop.,0.3323409271240234
000000212559_generated.png,A stable full of lambs standing and laying around.,0.28854347229003907
000000557672_generated.png,A woman walking down a street holding an orange umbrella.,0.368448486328125
000000141821_generated.png,A close-up of a misshapen piece of pizza and a can of soda.,0.3161805534362793
000000156292_generated.png,A woman standing in front of an outdoor wall decorated with images and clocks.,0.3334394073486328
000000357748_generated.png,A pink city bus at a bus stop.,0.34141227722167966
000000485480_generated.png,a man is holding a bat at a baseball game,0.2943887138366699
000000565962_generated.png,A cat outside a window looking at a Buddha statue.,0.31112586975097656
000000407403_generated.png,A painting of a white vase holding yellow tulips.,0.3797978591918945
000000440171_generated.png,A man is sitting on the back of an elephant.,0.3169723129272461
000000484351_generated.png,A classroom with kids and various men in suits.,0.3345505142211914
000000255917_generated.png,A cluster of traffic driving towards a capital building.,0.31809038162231446
000000106912_generated.png,A young boy riding a skateboard across a parking lot.,0.33891059875488283
000000039951_generated.png,A young boy taking a swing at a tennis ball,0.3260419464111328
000000095899_generated.png,A red stop sign next to a blue street sign.,0.3066575622558594
000000294162_generated.png,A laptop computer sits on a black surface next to a wireless mouse.,0.3184165382385254
000000025139_generated.png,A zebra grazing on food behind a metal fence.,0.3262140655517578
000000418696_generated.png,A street corner with a brown and white building on it.,0.2665501022338867
000000249219_generated.png,A double decker bus driving down the road.,0.3288532638549805
000000041633_generated.png,"A burgundy low-rider show-quality, hot rod Chevy truck.",0.339820556640625
000000283717_generated.png,A microwave sitting on top of a wooden shelf.,0.30870187759399415
000000395633_generated.png,A red and black boat floating on top of water.,0.35735382080078126
000000198510_generated.png,A person holds a bag while walking on train tracks.,0.3210837173461914
000000574520_generated.png,"a surfer riding the waves,on a surf board.",0.29527992248535156
000000070048_generated.png,a table that has some food on top of it,0.26789686203002927
000000027932_generated.png,A catchers mitt sitting inside of a blue baseball hat.,0.29454484939575193
000000519569_generated.png,a kitchen with a refrigerator a counter with chairs,0.3025859069824219
000000289393_generated.png,Set of toy animals sitting in front of a red wooden wagon.,0.3601392364501953
000000405205_generated.png,A passenger bus that is parked in a parking lot.,0.2873433303833008
000000176901_generated.png,Three people in the snow trying to walk up the hill in skiis.,0.28953990936279295
000000335450_generated.png,Two brown ponies in grassy field next to a fence.,0.3106214904785156
000000545100_generated.png,A man is taking a photo of a city with his phone.,0.3003368377685547
000000209530_generated.png,A group of people sitting around a table.,0.29698102951049804
000000475365_generated.png,a close up of an the front of an amtrak train,0.31182510375976563
000000059920_generated.png,a bathroom with a both a toilet and bidet,0.29872529983520507
000000138492_generated.png,A dog is reaching up to grab a Frisbee in his mouth.,0.31750137329101563
000000450439_generated.png,a patriotic kite flying through the clear blue sky.,0.3138304901123047
000000575243_generated.png,A person walking down a street while holding an umbrella.,0.31961185455322266
000000312549_generated.png,This is a close up photo of a street sign of a cross street.,0.3014147186279297
000000440475_generated.png,"A room with a Tv, potted plant, tables and chairs",0.3111153793334961
000000195842_generated.png,A person playing the Nintendo Wii in their messy living room,0.2998942184448242
000000107226_generated.png,Two men being drug on buggies by dogs.,0.301024112701416
000000165681_generated.png,This is an image of a row of scooters,0.31318834304809573
000000577149_generated.png,there are many zebras walking on the side of this road,0.3443059158325195
000000312213_generated.png,A cat sitting by a laptop but staring at a person.,0.3076693344116211
000000169996_generated.png,Men on bikes riding alongside a car on the street,0.28555498123168943
000000367386_generated.png,A living room with some empty couches in it,0.2747200965881348
000000040036_generated.png,A person jumping a horse over a box.,0.32319580078125
000000150265_generated.png,A group of people walking down a sidewalk.,0.29146217346191405
000000440508_generated.png,A long orange train traveling through a rural green countryside.,0.3496411895751953
000000305609_generated.png,a table with many plates of food on top,0.3017071533203125
